1; 18, 17, 10, 8, 3
2; 1
3; 1
4; 1
5; 1
6; 1
5; 3
8; 1
9; 1
10; 1
11; 1
12; 1
13; 1
14; 1
15; 1
16; 1
17; 1
18; 1
19; 1
20; 1
21; 1
22; 1
23; 1
24; 1
25; 1
26; 1
27; 1
28; 9, 16, 2
29; 8, 7, 4, 14, 11
30; 17, 10, 20, 19
31; 1, 8, 4, 16
32; 14, 15, 20
33; 13, 5, 1, 12
34; 2, 10, 7
35; 19, 3, 5, 9
36; 6, 10, 20
37; 19, 1, 3, 15
38; 7, 6, 12, 20, 14
39; 1, 2, 8, 20
40; 19, 18, 14, 5
41; 1, 13, 11
42; 6, 5, 15, 19
43; 12, 11, 8
44; 7, 2, 4, 20
45; 3, 9, 1, 14
46; 6, 13, 12
47; 15, 18, 19
48; 10, 4, 11, 7
49; 6, 20, 3
50; 8, 10, 5
51; 14, 11, 4, 17
52; 7, 19, 16
53; 13, 1, 2, 10
54; 9, 11, 18
55; 16, 5, 20, 2
56; 12, 10, 1, 6
57; 4, 3, 15, 17
58; 11, 5, 8
59; 1, 7, 12, 4
60; 9, 13, 18
61; 15, 19, 4
62; 6, 10, 5, 18
63; 7, 4, 20
64; 3, 8, 12, 16
65; 10, 18, 13
66; 2, 12, 11, 9
67; 8, 17, 5
68; 18, 12, 6, 11
69; 16, 3, 19, 4
70; 1, 8, 6
71; 9, 17, 4
72; 14, 19, 5
73; 3, 12, 11
74; 1, 20, 2
75; 14, 3, 7, 6
76; 2, 13, 1, 15
77; 19, 10, 3, 5
78; 17, 2, 8
79; 1, 9, 20, 11
80; 5, 10, 15
81; 19, 12, 2
82; 14, 11, 9, 18
83; 8, 5, 4, 12
84; 15, 2, 6
85; 1, 14, 20, 3
86; 18, 11, 7
87; 10, 15, 19
88; 9, 8, 5, 7
89; 4, 6, 3, 2
90; 20, 15, 9
91; 11, 17, 12, 1
92; 1, 5, 8
93; 18, 20, 19
94; 3, 17, 7
95; 12, 1, 6
96; 19, 9, 2
97; 13, 11, 20
98; 14, 3, 7, 8
99; 1, 10, 12, 15
100; 6, 11, 19
